Model,Audio_ID,Ground_Truth,Prediction,WER,Inference_Time_sec,Memory_MB
Whisper Base,2830-3980-0010,EITHER HE CALLS MINISTERS THROUGH THE AGENCY OF MEN OR HE CALLS THEM DIRECTLY AS HE CALLED THE PROPHETS AND APOSTLES,"Either he calls ministers to the agency of men, or he calls them directly as he called the prophets and apostles.",0.047619047619047616,1.2658806999970693,3.0859375
Whisper Base,7729-102255-0005,THIS WAS A FORMIDABLE ARRAY OF ADVANTAGES SLAVERY WAS PLAYING WITH LOADED DICE,This was a formidable array of advantages. Slavery was playing with loaded dice.,0.0,1.1613942999974824,-6.4140625
Whisper Base,1221-135767-0007,BUT IN TRUTH PEARL WAS THE ONE AS WELL AS THE OTHER AND ONLY IN CONSEQUENCE OF THAT IDENTITY HAD HESTER CONTRIVED SO PERFECTLY TO REPRESENT THE SCARLET LETTER IN HER APPEARANCE,"But in truth, Pearl was the one as well as the other, and only in consequence of that identity had Hester contrived so perfectly to represent the scarlet letter in her appearance.",0.0,1.9161603999964427,0.12109375
Whisper Base,8455-210777-0068,YOUR POWER IS SUFFICIENT I SAID,"Your power is sufficient, I said.",0.0,1.156604600022547,-0.66015625
Whisper Base,4446-2273-0011,THERE IS NOTHING ELSE THAT LOOKS SO JOLLY,There's nothing else that looks so jolly.,0.25,1.0753321000083815,4.2265625
Whisper Base,1188-133604-0006,THEN HE COMES TO THE BEAK OF IT,Then he comes to the beak of end.,0.125,0.9192537000053562,2.18359375
Whisper Base,4970-29093-0004,HE WAS UNABLE TO DECIDE EXACTLY WHAT IT SHOULD BE,He was unable to decide exactly what it should be.,0.0,0.9672004000167362,-1.87109375
Whisper Base,2300-131720-0024,BUT THE PLANT RAN AND IT WAS THE FIRST THREE WIRE STATION IN THIS COUNTRY,But the plant ran and it was the first three wire station in this country.,0.0,1.0993139000202063,1.578125
Whisper Base,3570-5694-0007,IT HAS EVEN HAPPENED THAT THE NAME FOR CERTAIN DISEASED CONDITIONS OF THE BODY ARISING FROM SUCH AN ORIGIN HAS PASSED INTO EVERYDAY SPEECH AS A SYNONYM FOR NOBLE OR GENTLE,It has even happened that the name for certain diseased conditions of the body arising from such an origin has passed into everyday speech as a synonym for noble or gentle.,0.0,1.6546409000002313,-2.296875
Whisper Base,1089-134686-0032,HE IS CALLED AS YOU KNOW THE APOSTLE OF THE INDIES,"He is called, as you know, the apostle of the Indies.",0.0,1.0688110000046436,-3.078125
Whisper Base,8224-274381-0010,BY A QUICK AND UNEXPECTED MARCH MONTROSE HASTENED TO INNERLOCHY AND PRESENTED HIMSELF IN ORDER OF BATTLE BEFORE THE SURPRISED BUT NOT AFFRIGHTENED COVENANTERS,"By a quick and unexpected march, Montrose hastened to Innerlocchi and presented himself in order of battle before the surprised but not frightened covenenters.",0.125,1.6783716000209097,-3.41015625
Whisper Base,8463-294828-0029,OUR BAGGAGE WAS IMMEDIATELY CARRIED TO THE DECK OF THE FRIGATE I RUSHED ABOARD,Our baggage was immediately carried to the deck of the frigates. I rushed aboard.,0.07142857142857142,1.2109458000049926,3.97265625
Whisper Base,1089-134691-0006,THE PRIDE OF THAT DIM IMAGE BROUGHT BACK TO HIS MIND THE DIGNITY OF THE OFFICE HE HAD REFUSED,The pride of that dim image brought back to his mind the dignity of the office he had refused.,0.0,1.1990108999889344,5.921875
Whisper Base,1089-134691-0018,AGAIN AGAIN,again,0.5,0.7000076999829616,-4.0703125
Whisper Base,3575-170457-0034,IN THIS MONOTONOUS LIFE OF MINE THAT WAS A PLEASANT EVENT,in this monotonous life of mine that was a pleasant event.,0.0,1.0355759000231046,3.625
Whisper Base,8230-279154-0039,THIS KNOWLEDGE IS MEMORY IN ONE SENSE THOUGH IN ANOTHER IT IS NOT,"This knowledge is memory in one sense, though in another it is not.",0.0,1.0881909000163432,-2.6484375
Whisper Base,8224-274381-0006,THIS NOBLEMAN'S CHARACTER THOUGH CELEBRATED FOR POLITICAL COURAGE AND CONDUCT WAS VERY LOW FOR MILITARY PROWESS AND AFTER SOME SKIRMISHES IN WHICH HE WAS WORSTED HE HERE ALLOWED MONTROSE TO ESCAPE HIM,"This nobleman's character, though celebrated for political courage and conduct, was very low for military prowess, and after some skirmishes in which he was worsted, he here allowed Montrose to escape him.",0.0,2.8477201999921817,31.09375
Whisper Base,7127-75946-0016,THE SEASONS ALLIES OF SPRING FOLLOWED HIM CLOSELY TO FORM A QUADRILLE WHICH AFTER MANY WORDS OF MORE OR LESS FLATTERING IMPORT WAS THE COMMENCEMENT OF THE DANCE,"The seasons, allies of spring, followed him closely to form a quadrille, which, after many words of more or less flattering import, was the commencement of the dance.",0.0,1.7026115999906324,-8.671875
Whisper Base,1580-141083-0053,YOU HAVEN'T SEEN ANY OF THEM NO SIR,You haven't seen any of them? No sir.,0.0,1.0432486000063363,3.6640625
Whisper Base,4507-16021-0015,SINCE WHEN HAS MALADY BANISHED MEDICINE,Since when has malady banished medicine?,0.0,0.9381070999952499,1.73828125
