Model,Audio_ID,Ground_Truth,Prediction,WER,Inference_Time_sec,Memory_MB
Faster-Whisper Base,4970-29093-0004,HE WAS UNABLE TO DECIDE EXACTLY WHAT IT SHOULD BE,He was unable to decide exactly what it should be.,0.0,1.1296902000030968,0.1640625
Faster-Whisper Base,2300-131720-0024,BUT THE PLANT RAN AND IT WAS THE FIRST THREE WIRE STATION IN THIS COUNTRY,But the plant ran and it was the first three-wire station in this country.,0.13333333333333333,1.2063148000161164,-0.18359375
Faster-Whisper Base,3570-5694-0007,IT HAS EVEN HAPPENED THAT THE NAME FOR CERTAIN DISEASED CONDITIONS OF THE BODY ARISING FROM SUCH AN ORIGIN HAS PASSED INTO EVERYDAY SPEECH AS A SYNONYM FOR NOBLE OR GENTLE,It has even happened that the name for certain diseased conditions of the body arising from such an origin has passed into everyday speech as a synonym for noble or gentle.,0.0,1.463672099984251,0.01953125
Faster-Whisper Base,1089-134686-0032,HE IS CALLED AS YOU KNOW THE APOSTLE OF THE INDIES,"He has called, as you know, the Apostle of the Indies.",0.09090909090909091,1.2087197999935597,0.0
Faster-Whisper Base,8224-274381-0010,BY A QUICK AND UNEXPECTED MARCH MONTROSE HASTENED TO INNERLOCHY AND PRESENTED HIMSELF IN ORDER OF BATTLE BEFORE THE SURPRISED BUT NOT AFFRIGHTENED COVENANTERS,"By a quick and unexpected march, Montrose hastened to Inner Locky and presented himself in order of battle before the surprised but not frightened covenenters.",0.16666666666666666,1.4064078999799676,-0.015625
Faster-Whisper Base,8463-294828-0029,OUR BAGGAGE WAS IMMEDIATELY CARRIED TO THE DECK OF THE FRIGATE I RUSHED ABOARD,Our baggage was immediately carried to the deck of the frigates. I rushed aboard.,0.07142857142857142,1.2125117999967188,0.21484375
Faster-Whisper Base,1089-134691-0006,THE PRIDE OF THAT DIM IMAGE BROUGHT BACK TO HIS MIND THE DIGNITY OF THE OFFICE HE HAD REFUSED,The pride of that dim image brought back to his mind the dignity of the office he had refused.,0.0,1.2422926000144798,-0.20703125
Faster-Whisper Base,1089-134691-0018,AGAIN AGAIN,again,0.5,1.141107200004626,0.015625
Faster-Whisper Base,3575-170457-0034,IN THIS MONOTONOUS LIFE OF MINE THAT WAS A PLEASANT EVENT,"in this monotonous life of mine, that was a pleasant event.",0.0,1.20484259998193,0.0
Faster-Whisper Base,8230-279154-0039,THIS KNOWLEDGE IS MEMORY IN ONE SENSE THOUGH IN ANOTHER IT IS NOT,"This knowledge is memory in one sense, though in another it is not.",0.0,1.1963969999924302,0.1796875
Faster-Whisper Base,8224-274381-0006,THIS NOBLEMAN'S CHARACTER THOUGH CELEBRATED FOR POLITICAL COURAGE AND CONDUCT WAS VERY LOW FOR MILITARY PROWESS AND AFTER SOME SKIRMISHES IN WHICH HE WAS WORSTED HE HERE ALLOWED MONTROSE TO ESCAPE HIM,"This nobleman's character, though celebrated for political courage and conduct, was very  low for military prowess, and after some skirmishes in which he was worsted, he here allowed  Montrose to escape him.",0.0,2.4873967000166886,-0.1796875
Faster-Whisper Base,7127-75946-0016,THE SEASONS ALLIES OF SPRING FOLLOWED HIM CLOSELY TO FORM A QUADRILLE WHICH AFTER MANY WORDS OF MORE OR LESS FLATTERING IMPORT WAS THE COMMENCEMENT OF THE DANCE,"The seasons, allies of spring, followed him closely to form a quadril, which, after many words of more or less flattering import, was the commencement of the dance.",0.03571428571428571,1.39240779998363,0.01171875
Faster-Whisper Base,1580-141083-0053,YOU HAVEN'T SEEN ANY OF THEM NO SIR,"You haven't seen any of them?  No, sir.",0.0,1.2039245000050869,0.171875
Faster-Whisper Base,4507-16021-0015,SINCE WHEN HAS MALADY BANISHED MEDICINE,Since when has Malady banished medicine?,0.0,1.1270693999831565,-0.01953125
