audio_id,audio_path,ground_truth
2830-3980-0010,C:\Users\durwa\LibriSpeech\LibriSpeech\test-clean\2830\3980\2830-3980-0010.flac,EITHER HE CALLS MINISTERS THROUGH THE AGENCY OF MEN OR HE CALLS THEM DIRECTLY AS HE CALLED THE PROPHETS AND APOSTLES
7729-102255-0005,C:\Users\durwa\LibriSpeech\LibriSpeech\test-clean\7729\102255\7729-102255-0005.flac,THIS WAS A FORMIDABLE ARRAY OF ADVANTAGES SLAVERY WAS PLAYING WITH LOADED DICE
1221-135767-0007,C:\Users\durwa\LibriSpeech\LibriSpeech\test-clean\1221\135767\1221-135767-0007.flac,BUT IN TRUTH PEARL WAS THE ONE AS WELL AS THE OTHER AND ONLY IN CONSEQUENCE OF THAT IDENTITY HAD HESTER CONTRIVED SO PERFECTLY TO REPRESENT THE SCARLET LETTER IN HER APPEARANCE
8455-210777-0068,C:\Users\durwa\LibriSpeech\LibriSpeech\test-clean\8455\210777\8455-210777-0068.flac,YOUR POWER IS SUFFICIENT I SAID
4446-2273-0011,C:\Users\durwa\LibriSpeech\LibriSpeech\test-clean\4446\2273\4446-2273-0011.flac,THERE IS NOTHING ELSE THAT LOOKS SO JOLLY
1188-133604-0006,C:\Users\durwa\LibriSpeech\LibriSpeech\test-clean\1188\133604\1188-133604-0006.flac,THEN HE COMES TO THE BEAK OF IT
4970-29093-0004,C:\Users\durwa\LibriSpeech\LibriSpeech\test-clean\4970\29093\4970-29093-0004.flac,HE WAS UNABLE TO DECIDE EXACTLY WHAT IT SHOULD BE
2300-131720-0024,C:\Users\durwa\LibriSpeech\LibriSpeech\test-clean\2300\131720\2300-131720-0024.flac,BUT THE PLANT RAN AND IT WAS THE FIRST THREE WIRE STATION IN THIS COUNTRY
3570-5694-0007,C:\Users\durwa\LibriSpeech\LibriSpeech\test-clean\3570\5694\3570-5694-0007.flac,IT HAS EVEN HAPPENED THAT THE NAME FOR CERTAIN DISEASED CONDITIONS OF THE BODY ARISING FROM SUCH AN ORIGIN HAS PASSED INTO EVERYDAY SPEECH AS A SYNONYM FOR NOBLE OR GENTLE
1089-134686-0032,C:\Users\durwa\LibriSpeech\LibriSpeech\test-clean\1089\134686\1089-134686-0032.flac,HE IS CALLED AS YOU KNOW THE APOSTLE OF THE INDIES
8224-274381-0010,C:\Users\durwa\LibriSpeech\LibriSpeech\test-clean\8224\274381\8224-274381-0010.flac,BY A QUICK AND UNEXPECTED MARCH MONTROSE HASTENED TO INNERLOCHY AND PRESENTED HIMSELF IN ORDER OF BATTLE BEFORE THE SURPRISED BUT NOT AFFRIGHTENED COVENANTERS
8463-294828-0029,C:\Users\durwa\LibriSpeech\LibriSpeech\test-clean\8463\294828\8463-294828-0029.flac,OUR BAGGAGE WAS IMMEDIATELY CARRIED TO THE DECK OF THE FRIGATE I RUSHED ABOARD
1089-134691-0006,C:\Users\durwa\LibriSpeech\LibriSpeech\test-clean\1089\134691\1089-134691-0006.flac,THE PRIDE OF THAT DIM IMAGE BROUGHT BACK TO HIS MIND THE DIGNITY OF THE OFFICE HE HAD REFUSED
1089-134691-0018,C:\Users\durwa\LibriSpeech\LibriSpeech\test-clean\1089\134691\1089-134691-0018.flac,AGAIN AGAIN
3575-170457-0034,C:\Users\durwa\LibriSpeech\LibriSpeech\test-clean\3575\170457\3575-170457-0034.flac,IN THIS MONOTONOUS LIFE OF MINE THAT WAS A PLEASANT EVENT
8230-279154-0039,C:\Users\durwa\LibriSpeech\LibriSpeech\test-clean\8230\279154\8230-279154-0039.flac,THIS KNOWLEDGE IS MEMORY IN ONE SENSE THOUGH IN ANOTHER IT IS NOT
8224-274381-0006,C:\Users\durwa\LibriSpeech\LibriSpeech\test-clean\8224\274381\8224-274381-0006.flac,THIS NOBLEMAN'S CHARACTER THOUGH CELEBRATED FOR POLITICAL COURAGE AND CONDUCT WAS VERY LOW FOR MILITARY PROWESS AND AFTER SOME SKIRMISHES IN WHICH HE WAS WORSTED HE HERE ALLOWED MONTROSE TO ESCAPE HIM
7127-75946-0016,C:\Users\durwa\LibriSpeech\LibriSpeech\test-clean\7127\75946\7127-75946-0016.flac,THE SEASONS ALLIES OF SPRING FOLLOWED HIM CLOSELY TO FORM A QUADRILLE WHICH AFTER MANY WORDS OF MORE OR LESS FLATTERING IMPORT WAS THE COMMENCEMENT OF THE DANCE
1580-141083-0053,C:\Users\durwa\LibriSpeech\LibriSpeech\test-clean\1580\141083\1580-141083-0053.flac,YOU HAVEN'T SEEN ANY OF THEM NO SIR
4507-16021-0015,C:\Users\durwa\LibriSpeech\LibriSpeech\test-clean\4507\16021\4507-16021-0015.flac,SINCE WHEN HAS MALADY BANISHED MEDICINE
